Food,Category,Grams,Calories,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,satfat_per_100g,category_encoded
Cows' milk,Dairy products,976,660.0,67.62,3.28,4.1,4.92,0.0,3.69,1
Milk skim,Dairy products,984,360.0,36.59,3.66,0.0,5.28,0.0,0.0,1
Buttermilk,Dairy products,246,127.0,51.63,3.66,2.03,5.28,0.0,1.63,1
"Evaporated, undiluted",Dairy products,252,345.0,136.9,6.35,7.94,9.52,0.0,7.14,1
Fortified milk,Dairy products,1419,1373.0,96.76,6.27,2.96,8.39,0.1,1.62,1
Powdered milk,Dairy products,103,515.0,500.0,26.21,27.18,37.86,0.0,23.3,1
"skim, instant",Dairy products,85,290.0,341.18,35.29,0.0,49.41,0.0,0.0,1
"skim, non-instant",Dairy products,85,290.0,341.18,35.29,0.0,49.41,1.18,0.0,1
Goats' milk,Dairy products,244,165.0,67.62,3.28,4.1,4.51,0.0,3.28,1
(1/2 cup ice cream),Dairy products,540,690.0,127.78,4.44,4.44,12.96,0.0,4.07,1
Cocoa,Dairy products,252,235.0,93.25,3.17,4.37,10.32,0.0,3.97,1
skim. milk,Dairy products,250,128.0,51.2,7.2,1.6,5.2,0.4,1.2,1
(cornstarch),Dairy products,248,275.0,110.89,3.63,4.03,16.13,0.0,3.63,1
Custard,Dairy products,248,285.0,114.92,5.24,5.65,11.29,0.0,4.44,1
Ice cream,Dairy products,188,300.0,159.57,3.19,9.57,15.43,0.0,8.51,1
Ice milk,Dairy products,190,275.0,144.74,4.74,5.26,16.84,0.0,4.74,1
Cream or half-and-half,Dairy products,120,170.0,141.67,3.33,12.5,4.17,0.0,10.83,1
or whipping,Dairy products,119,430.0,361.34,1.68,36.97,2.52,0.84,22.69,1
Cheese,Dairy products,225,240.0,106.67,13.33,4.89,2.67,0.0,4.44,1
uncreamed,Dairy products,225,195.0,86.67,16.89,0.0,2.67,0.0,0.0,1
Cheddar,Dairy products,17,70.0,411.76,23.53,35.29,0.0,0.0,29.41,1
"Cheddar, grated cup",Dairy products,56,226.0,403.57,25.0,33.93,1.79,0.0,30.36,1
Cream cheese,Dairy products,28,105.0,375.0,7.14,39.29,3.57,0.0,35.71,1
Processed cheese,Dairy products,28,105.0,375.0,25.0,32.14,0.0,0.0,28.57,1
Roquefort type,Dairy products,28,105.0,375.0,21.43,32.14,0.0,0.0,28.57,1
Swiss,Dairy products,28,105.0,375.0,25.0,28.57,0.0,0.0,25.0,1
Eggs raw,Dairy products,100,150.0,150.0,12.0,12.0,0.0,0.0,10.0,1
Eggs Scrambled or fried,Dairy products,128,220.0,171.88,10.16,12.5,0.78,0.0,10.94,1
Yolks,"Fats, Oils, Shortenings",34,120.0,352.94,17.65,29.41,0.0,0.0,23.53,4
Butter,"Fats, Oils, Shortenings",14,100.0,714.29,0.0,78.57,0.0,0.0,71.43,4
Butter,"Fats, Oils, Shortenings",112,113.0,100.89,101.79,102.68,105.36,104.46,103.57,4
Butter,"Fats, Oils, Shortenings",112,113.0,100.89,101.79,102.68,105.36,104.46,103.57,4
Hydrogenated cooking fat,"Fats, Oils, Shortenings",100,665.0,665.0,0.0,100.0,0.0,0.0,88.0,4
Lard,"Fats, Oils, Shortenings",110,992.0,901.82,0.0,100.0,0.0,0.0,83.64,4
Margarine,"Fats, Oils, Shortenings",112,806.0,719.64,0.0,81.25,0.0,0.0,67.86,4
"Margarine, 2 pat or","Fats, Oils, Shortenings",14,100.0,714.29,0.0,78.57,0.0,0.0,64.29,4
Mayonnaise,"Fats, Oils, Shortenings",15,110.0,733.33,0.0,80.0,0.0,0.0,33.33,4
Corn oil,"Fats, Oils, Shortenings",14,125.0,892.86,0.0,100.0,0.0,0.0,35.71,4
Olive oil,"Fats, Oils, Shortenings",14,125.0,892.86,0.0,100.0,0.0,0.0,21.43,4
Safflower seed oil,"Fats, Oils, Shortenings",14,125.0,892.86,0.0,100.0,0.0,0.0,21.43,4
French dressing,"Fats, Oils, Shortenings",15,60.0,400.0,0.0,40.0,13.33,0.0,13.33,4
Thousand Island sauce,"Fats, Oils, Shortenings",15,75.0,500.0,0.0,53.33,6.67,0.0,20.0,4
Salt pork,"Meat, Poultry",60,470.0,783.33,5.0,91.67,0.0,0.0,,10
Bacon,"Meat, Poultry",16,95.0,593.75,25.0,50.0,6.25,0.0,43.75,10
Beef,"Meat, Poultry",85,245.0,288.24,27.06,18.82,0.0,0.0,17.65,10
Hamburger,"Meat, Poultry",85,245.0,288.24,24.71,20.0,0.0,0.0,17.65,10
Ground lean,"Meat, Poultry",85,185.0,217.65,28.24,11.76,0.0,0.0,10.59,10
Roast beef,"Meat, Poultry",85,390.0,458.82,18.82,42.35,0.0,0.0,41.18,10
Steak,"Meat, Poultry",85,330.0,388.24,23.53,31.76,0.0,0.0,29.41,10
"Steak, lean, as round","Meat, Poultry",85,220.0,258.82,28.24,14.12,0.0,0.0,12.94,10
Corned beef,"Meat, Poultry",85,185.0,217.65,25.88,11.76,0.0,0.0,10.59,10
Corned beef hash canned,"Meat, Poultry",85,120.0,141.18,14.12,9.41,7.06,0.0,8.24,10
